President,Inauguration Year,Speech Complexity
George Washington,1789,31.161904761904765
John Adams,1797,17.955555555555556
Thomas Jefferson,1801,15.666666666666664
James Madison,1809,21.872727272727275
James Monroe,1817,13.599999999999998
John Quincy Adams,1825,16.057142857142857
Andrew Jackson,1829,19.24615384615385
Martin Van Buren,1837,18.16
William Harrison,1841,15.200000000000001
John Tyler,1841,16.200000000000003
James K. Polk,1845,14.608000000000002
Zachary Taylor,1849,17.6
Millard Fillmore,1850,15.533333333333337
Franklin Pierce,1853,18.666666666666668
James Buchanan,1857,12.257142857142856
Abraham Lincoln,1861,10.16
Andrew Johnson,1865,18.813333333333333
Ulysses S. Grant,1869,14.625
Rutherford B. Hayes,1877,13.899999999999999
James A. Garfield,1881,10.4
Chester A. Arthur,1881,11.92727272727273
Grover Cleveland,1885,15.9448275862069
Benjamin Harrison,1889,13.242105263157892
William McKinley,1897,12.057142857142855
Theodore Roosevelt,1901,12.419047619047623
William Taft,1909,13.381818181818181
Woodrow Wilson,1913,13.037500000000001
Warren G. Harding,1921,9.7
Calvin Coolidge,1923,8.433333333333335
Herbert Hoover,1929,9.586206896551726
Franklin D. Roosevelt,1933,8.914285714285713
Harry S. Truman,1945,7.288888888888888
Dwight D. Eisenhower,1953,7.93846153846154
John F. Kennedy,1961,9.481818181818179
Lyndon B. Johnson,1963,7.108571428571427
Richard M. Nixon,1969,9.130434782608694
Gerald Ford,1974,7.999999999999999
Jimmy Carter,1977,7.345454545454545
Ronald Reagan,1981,7.173333333333333
George H. W. Bush,1989